Person_ID,Name,Age,Gender,Sexual_Orientation,Era,Relationship_Start_Date,Relationship_End_Date,Relationship_Duration,Relationship_Type,Commitment_Level,Breakup_Reason,Conflict_Frequency,First_Fight_Topic,Last_Text_Exchanged,Mutual_Breakup,Closure_Given,Rebound_After_Days,Avg_Texts_Per_Day,First_Message,Sweet_Terms_Used,Ghosting_Days_Count,Longest_Conversation,Streak_Days,Deleted_Texts_Count,Mood_Before,Mood_During,Mood_After,Trust_Score,Emotional_Dependency_Score,Regret_Level,Self_Esteem_After,Lessons_Learned,Playlist_Shared,Theme_Song,Photos_Shared_Count,Places_Visited_Together,Anniversary_Celebrated,Memory_Value_Score,Love_Growth_Trend,Attachment_Style,Breakup_Recovery_Days,Communication_Style,Emotional_Intensity,Compatibility_Score
1,April,23,Non-binary,Bisexual,Past,2016-09-11,2018-07-28,685 days,Long-term,Undefined,Jealousy,Low,Trust,Happen lose listen per rich attention.,Yes,No,162,38,Effort them table budget memory fall city loss chair place policy.,8,10,138,58,11,Shy,Bitter,Resigned,6,1,7,Higher,Learn to forgive,Yes,Blinding Lights,25,9,Yes,2,Early spike,Secure,102,Passive,7,4
2,Lindsey,31,Other,Heterosexual,Modern,2006-05-19,2007-11-13,543 days,Casual,Undefined,Moved away,Medium,Time management,My system figure only us positive feeling up chair.,Yes,Yes,156,70,Defense dog event source seven above message whose cold single fact article material enough discussion certainly.,43,24,129,45,14,Confident,Calm,Confident,5,6,5,Same,Love is not enough,No,Thinking Out Loud,17,0,Yes,4,Early spike,Secure,180,Passive,1,7
3,Rebecca,34,Non-binary,Homosexual,Modern,2010-01-04,2010-10-06,275 days,Flings,Casual,Family disapproval,Low,Jealousy,Guy building act each must foreign what far like example us point political city.,Yes,No,131,82,Field organization voice take between seven executive bank.,25,24,25,45,2,Resigned,Excited,Heartbroken,5,2,7,Same,Trust actions not words,Yes,Perfect,4,20,Yes,9,Early spike,Anxious,173,Passive,9,4
4,Bradley,19,Female,Bisexual,Past,2023-05-01,2025-09-17,870 days,Long-term,Serious,Emotional unavailability,Medium,Future plans,Address be cause owner cup himself north performance officer new discover space audience under development movement.,No,No,126,14,Own actually place half television still clearly usually local stock ground decide last probably radio wide social serious.,37,25,134,14,11,Resigned,Calm,Hopeful,2,9,5,Higher,Learn to forgive,No,Perfect,74,1,No,9,Early spike,Avoidant,177,Passive,8,4
5,Michael,24,Male,Pansexual,Past,2015-04-06,2016-08-19,501 days,Casual,Undefined,Infatuation fade,Medium,Communication,Happen letter nearly resource good finish trial.,No,No,132,23,Religious quite great investment mission indeed price loss door civil behind theory performance prove.,21,6,34,12,12,Confident,Joyful,Heartbroken,4,3,1,Higher,Choose wisely,Yes,Stay With Me,85,14,Yes,3,Early spike,Avoidant,124,Avoidant,4,4
6,Joseph,20,Other,Pansexual,Modern,2012-04-15,2012-11-13,212 days,Long-distance,Undefined,Long distance strain,Medium,Career,Score film power find stop even type figure defense significant raise year three road apply.,No,Yes,135,48,Really gas kitchen development our.,23,14,169,50,12,Excited,Heartbroken,Excited,3,3,8,Lower,Love is not enough,No,Thinking Out Loud,70,12,No,2,Decline,Avoidant,228,Passive,2,8
7,Valerie,40,Non-binary,Heterosexual,Past,2018-11-26,2019-11-20,359 days,Flings,Engaged,Trust issues,Medium,Communication,Interesting total turn to glass next pressure standard long while very tell manager himself.,Yes,Yes,111,87,Build fly case our consider into.,15,18,111,8,1,Shy,Numb,Joyful,6,5,7,Higher,Be honest,Yes,Photograph,55,10,Yes,5,Gradual,Avoidant,126,Passive,5,1
8,Barbara,32,Non-binary,Homosexual,Modern,2000-10-29,2002-03-06,493 days,Flings,Serious,Different life goals,High,Communication,Arm statement across feel to success.,No,No,42,13,Star health level child radio share grow research.,39,22,168,32,9,Resigned,Bitter,Hopeful,9,7,8,Same,Choose wisely,No,Shape of You,88,5,Yes,5,Early spike,Avoidant,196,Avoidant,7,3
9,Timothy,24,Male,Heterosexual,Past,2003-09-16,2004-08-09,328 days,Situationship,Serious,Emotional unavailability,Medium,Time management,Receive activity usually.,Yes,No,171,82,Education now to quickly laugh look talk door knowledge again population imagine suggest station boy.,13,3,26,33,0,Joyful,Resigned,Excited,2,10,6,Same,Self-love matters,No,Photograph,46,6,Yes,2,Decline,Secure,19,Avoidant,4,8
10,Caroline,42,Non-binary,Bisexual,Modern,2003-02-17,2003-07-03,136 days,Situationship,Serious,Jealousy,Medium,Career,Quality station which director oil least hope prevent international movie leg matter between official its.,Yes,No,163,82,Wall professor movement explain stay price suffer smile black paper figure.,30,7,120,18,7,Calm,Calm,Excited,6,10,1,Same,Learn to forgive,Yes,Stay With Me,62,15,No,10,Decline,Secure,270,Open,6,5
11,Robert,44,Other,Bisexual,Modern,2004-06-11,2006-04-04,662 days,Casual,Casual,Mental health problems,High,Future plans,Although cut reduce rise may lead study none leave show oil wish allow business sing.,No,Yes,71,16,Company president whose nature.,24,19,148,23,15,Bitter,Confident,Confident,5,4,3,Higher,Communication is key,No,All of Me,3,12,No,8,Gradual,Anxious,87,Passive,1,1
12,Donna,31,Non-binary,Homosexual,Modern,2013-01-13,2013-08-29,228 days,Situationship,Serious,Financial problems,Medium,Future plans,American along if seat draw speak trial peace free produce moment machine toward.,Yes,Yes,44,94,Line think energy middle ball smile.,2,24,23,60,6,Confident,Excited,Excited,1,9,1,Same,Be yourself,Yes,Stay With Me,46,0,Yes,6,Decline,Anxious,312,Passive,9,4
13,Chris,43,Female,Pansexual,Past,2021-05-24,2022-05-07,348 days,Flings,Serious,Addiction issues,Low,Time management,Speak front phone say several look close play contain many politics.,No,Yes,156,49,Control Mr admit father kitchen behind hundred sing.,3,9,79,25,0,Confident,Heartbroken,Calm,9,3,3,Higher,Learn to forgive,Yes,Say You Won't Let Go,11,5,Yes,4,Early spike,Anxious,171,Open,3,6
14,Danielle,30,Other,Homosexual,Modern,2013-03-06,2013-09-10,188 days,Flings,Engaged,Lack of communication,High,Jealousy,Case brother behind color need his but other cell drop interest read role.,Yes,No,136,99,Find mouth offer her suggest piece south because until pay management note though draw group.,8,15,171,26,12,Confident,Numb,Confident,8,10,5,Higher,Love is not enough,No,Say You Won't Let Go,46,7,No,4,Gradual,Secure,264,Open,3,6
15,Jennifer,20,Male,Homosexual,Modern,2021-10-11,2024-03-19,890 days,Flings,Engaged,Long distance strain,Medium,Trust,World treatment nearly place generation green book much address contain close base participant tend its modern reality.,No,No,167,65,Leave on choose month billion culture strategy practice require truth light magazine within much hot.,24,0,146,35,3,Shy,Heartbroken,Resigned,4,8,4,Higher,Trust actions not words,No,Perfect,65,14,No,8,Early spike,Secure,97,Avoidant,2,9
16,Sarah,39,Non-binary,Asexual,Modern,2005-11-15,2007-10-27,711 days,Casual,Undefined,Addiction issues,High,Communication,Network alone cold option let office claim staff executive people best.,Yes,Yes,116,66,Officer evidence skin measure new young next manager back financial cut.,34,9,145,6,14,Confident,Heartbroken,Resigned,3,10,1,Lower,Trust actions not words,No,Stay With Me,20,5,Yes,2,Early spike,Avoidant,122,Open,3,9
17,Robin,32,Non-binary,Asexual,Modern,2018-05-05,2020-09-16,865 days,Casual,Undefined,Different life goals,High,Communication,Woman prove but increase citizen responsibility practice represent pull.,Yes,No,157,5,City already personal allow every better local.,19,21,87,49,1,Joyful,Hopeful,Resigned,6,3,2,Higher,Be yourself,No,Someone Like You,72,11,Yes,4,Early spike,Anxious,228,Passive,4,8
18,Sarah,41,Non-binary,Homosexual,Modern,2023-05-11,2024-04-05,330 days,Situationship,Undefined,Addiction issues,High,Communication,Raise fact south own when.,Yes,Yes,32,55,Catch task nice which box name kind laugh war how house term cover.,15,0,123,13,7,Numb,Hopeful,Excited,8,7,5,Higher,Love is not enough,Yes,Thinking Out Loud,55,5,Yes,2,Early spike,Avoidant,54,Passive,10,10
19,Megan,33,Female,Asexual,Modern,2021-05-09,2022-07-25,442 days,Long-term,Engaged,Trust issues,Low,Time management,Article down anything subject ground save arm risk present somebody glass store middle already.,No,No,74,58,Move participant be rest measure act drug want defense letter generation office sure member.,45,23,29,53,10,Resigned,Hopeful,Confident,9,4,8,Lower,Communication is key,Yes,Blinding Lights,23,18,No,4,Gradual,Anxious,39,Passive,1,3
20,Timothy,24,Other,Asexual,Past,2005-01-06,2006-10-03,635 days,Flings,Casual,Financial problems,High,Time management,Dinner no three door from health nature it trial.,No,No,52,70,Determine meeting yet number five others full task movement staff.,32,22,96,59,15,Hopeful,Shy,Heartbroken,5,3,10,Lower,Learn to forgive,Yes,Thinking Out Loud,86,20,No,1,Early spike,Secure,356,Avoidant,5,8
21,David,21,Other,Asexual,Modern,2017-01-20,2019-06-27,888 days,Casual,Undefined,Different life goals,Medium,Career,Either open herself be.,Yes,No,110,83,Difficult artist peace trip consider say garden purpose.,5,8,27,32,12,Calm,Confident,Resigned,2,10,7,Same,Communication is key,Yes,Thinking Out Loud,10,9,No,8,Decline,Anxious,192,Passive,3,7
22,Kim,44,Female,Heterosexual,Past,2001-05-25,2003-06-03,739 days,Flings,Engaged,Mental health problems,High,Money,Speak almost front end often though type may shoulder age resource lawyer guy interview.,Yes,No,15,77,What road mind interest back read floor student Mr despite.,43,3,20,27,19,Confident,Bitter,Hopeful,8,5,4,Same,Love is not enough,No,All of Me,44,14,Yes,6,Early spike,Avoidant,33,Passive,10,6
23,David,35,Female,Pansexual,Modern,2009-08-03,2009-11-03,92 days,Situationship,Engaged,Addiction issues,Low,Future plans,Opportunity travel outside section wonder month modern federal health about.,No,Yes,130,100,Will performance threat main pick particularly former just list determine suddenly material forget quite at debate expect.,43,13,180,26,16,Confident,Confident,Numb,7,1,5,Higher,Learn to forgive,No,Blinding Lights,48,18,Yes,7,Gradual,Anxious,219,Passive,4,2
24,Danny,33,Non-binary,Pansexual,Modern,2008-01-10,2010-01-23,744 days,Flings,Serious,Mismatch of values,High,Money,Top inside ahead situation ready policy however expect.,Yes,Yes,54,99,Side soon will I simply it office market be describe across keep.,3,11,134,48,0,Numb,Shy,Resigned,3,5,3,Lower,Choose wisely,No,Let Her Go,33,2,No,5,Gradual,Secure,312,Open,5,3
25,Douglas,38,Male,Bisexual,Past,2009-08-11,2010-11-16,462 days,Long-term,Engaged,Family disapproval,Medium,Priorities,Cause company return to attack special.,No,Yes,124,83,Specific drop money American fear down produce decade view.,43,25,53,7,7,Shy,Joyful,Confident,4,5,4,Lower,Be honest,Yes,Photograph,91,5,No,7,Early spike,Anxious,332,Avoidant,7,1
26,Austin,31,Other,Pansexual,Modern,2014-01-05,2014-06-14,160 days,Long-distance,Casual,Arguments and fights,High,Trust,Image PM short adult drug some attorney or before service win man second.,Yes,No,95,32,Get born anything whether price hundred word.,14,30,16,7,10,Resigned,Heartbroken,Hopeful,2,5,8,Same,Love is not enough,Yes,Stay With Me,75,12,No,5,Early spike,Secure,62,Avoidant,3,9
27,Colleen,32,Non-binary,Asexual,Modern,2010-11-27,2011-03-12,105 days,Situationship,Engaged,Third-party interference,High,Family interference,Same soon store really must sea option.,Yes,No,120,73,That physical ground same sit policy memory.,19,23,84,30,13,Joyful,Joyful,Resigned,8,8,3,Same,Trust actions not words,Yes,Photograph,22,9,Yes,5,Early spike,Avoidant,166,Avoidant,2,4
28,Samantha,29,Male,Pansexual,Modern,2013-03-26,2015-04-29,764 days,Long-distance,Casual,Financial problems,High,Communication,Follow cause plant financial hour watch lead north treatment share discuss.,Yes,No,23,60,Class provide some war lead Democrat.,40,20,39,51,20,Heartbroken,Bitter,Joyful,3,1,2,Same,Love is not enough,Yes,Let Her Go,47,9,No,5,Early spike,Avoidant,106,Passive,7,10
29,Linda,29,Other,Pansexual,Modern,2001-07-09,2002-07-30,386 days,Long-term,Engaged,Lack of communication,High,Communication,Trouble enter detail tree office reach join small field key yourself detail.,Yes,Yes,158,32,This next value smile officer yeah figure ever develop their which top fine seek response board grow decision church establish.,32,27,109,39,11,Confident,Confident,Bitter,7,1,3,Lower,Choose wisely,Yes,Thinking Out Loud,4,12,Yes,8,Decline,Secure,86,Open,1,5
30,Paul,31,Non-binary,Bisexual,Modern,2015-09-08,2016-02-01,146 days,Long-distance,Engaged,Financial problems,Medium,Priorities,Think more hour true seat prepare these positive one practice tough exactly.,No,Yes,176,59,Factor important watch rate beautiful example member single both.,20,28,170,51,10,Calm,Calm,Resigned,3,2,10,Same,Be honest,No,Shape of You,35,19,No,3,Early spike,Secure,330,Passive,3,2
31,Zachary,19,Male,Homosexual,Modern,2007-06-24,2007-12-27,186 days,Casual,Casual,Trust issues,Medium,Money,How professional direction agreement degree.,Yes,No,112,14,Today child mission air general movie herself land almost.,9,3,8,25,9,Heartbroken,Heartbroken,Excited,6,6,7,Lower,Trust actions not words,Yes,Stay With Me,74,2,No,10,Gradual,Avoidant,126,Passive,9,9
32,Heidi,33,Other,Bisexual,Past,2021-03-21,2022-09-13,541 days,Situationship,Casual,Lack of communication,Medium,Career,Enter admit water million far never statement understand.,Yes,No,162,68,Outside city occur rock agree never public.,45,23,65,27,18,Hopeful,Resigned,Confident,5,3,2,Same,Trust actions not words,No,Photograph,74,11,No,4,Decline,Avoidant,19,Avoidant,10,2
33,Dawn,22,Other,Bisexual,Past,2023-11-12,2025-02-26,472 days,Situationship,Serious,Emotional unavailability,Medium,Jealousy,Really nor mission director bill avoid economy character.,No,Yes,80,48,Congress move reveal.,25,15,13,29,12,Calm,Calm,Calm,2,3,1,Same,Love is not enough,Yes,Shape of You,73,12,No,8,Gradual,Anxious,18,Avoidant,4,7
34,Rhonda,36,Other,Heterosexual,Modern,2011-08-29,2011-11-24,87 days,Situationship,Serious,Addiction issues,Medium,Priorities,Play agent administration trade ok which sense away.,Yes,No,166,77,Collection task piece medical policy.,18,5,170,39,1,Shy,Heartbroken,Confident,8,3,1,Same,Love is not enough,No,Someone Like You,51,1,Yes,2,Gradual,Avoidant,132,Passive,7,7
35,Spencer,40,Other,Heterosexual,Modern,2014-07-29,2016-12-19,874 days,Long-distance,Undefined,Mismatch of values,Medium,Family interference,Every east treat religious wrong.,Yes,Yes,116,78,Yes officer guy information question hard add teach fine help sea.,13,25,28,47,10,Shy,Confident,Confident,1,6,6,Same,Learn to forgive,Yes,Thinking Out Loud,35,20,No,5,Early spike,Avoidant,216,Open,1,6
36,Deborah,36,Female,Bisexual,Modern,2013-11-19,2014-03-25,126 days,Flings,Undefined,Third-party interference,Low,Money,Woman bring society each hair film ready well we individual key size computer.,No,Yes,63,78,Day network strong hope remember more brother letter provide present ready guess dark.,5,17,113,37,3,Numb,Resigned,Shy,1,1,5,Same,Learn to forgive,No,All of Me,50,17,No,4,Decline,Avoidant,30,Open,7,6
37,Amanda,28,Female,Bisexual,Past,2003-09-08,2005-07-14,675 days,Long-term,Serious,Infatuation fade,Medium,Jealousy,Grow my couple require action yeah no answer.,No,Yes,19,7,Stage deep hand bar break better bring among.,24,12,145,30,15,Numb,Heartbroken,Numb,10,3,6,Higher,Learn to forgive,Yes,Photograph,41,7,No,3,Gradual,Secure,91,Passive,2,6
38,Ricardo,26,Female,Pansexual,Modern,2015-12-29,2017-08-03,583 days,Long-distance,Engaged,Infatuation fade,Low,Trust,Listen particular star several pick car develop heart.,No,Yes,39,90,Production study late add floor hundred industry man sing of.,18,6,107,6,3,Heartbroken,Calm,Bitter,6,7,6,Higher,Be honest,No,Say You Won't Let Go,55,0,No,5,Gradual,Secure,4,Passive,2,9
39,Lori,33,Male,Bisexual,Modern,2004-06-16,2004-08-01,46 days,Long-distance,Casual,Ghosting,Medium,Career,Or lose watch certain whole parent sense for chair mean be almost.,Yes,Yes,58,82,Dinner share individual even.,9,5,129,45,6,Hopeful,Calm,Numb,10,5,2,Same,Choose wisely,No,Stay With Me,12,1,Yes,7,Decline,Secure,17,Avoidant,1,5
40,Lisa,29,Male,Pansexual,Past,2006-01-12,2008-04-10,819 days,Long-term,Engaged,Loss of feelings,Low,Jealousy,Over energy paper stage general charge themselves yet suffer main voice.,Yes,Yes,123,14,With matter character.,21,20,67,19,14,Shy,Heartbroken,Confident,4,1,1,Same,Trust actions not words,No,Stay With Me,34,13,Yes,5,Early spike,Anxious,118,Passive,9,6
41,April,20,Non-binary,Heterosexual,Past,2018-09-04,2019-10-12,403 days,Flings,Undefined,Jealousy,Medium,Communication,Friend energy amount tend prevent begin real pass call establish image class science mind late score.,Yes,Yes,111,91,Draw prepare among allow art suddenly mouth gas line star some win across understand draw.,43,25,57,4,10,Numb,Excited,Bitter,4,3,9,Higher,Be honest,No,All of Me,13,15,Yes,9,Early spike,Anxious,226,Avoidant,1,8
42,Dawn,21,Male,Pansexual,Modern,2016-02-08,2016-08-01,175 days,Long-distance,Serious,Different life goals,Low,Trust,Need manager must effect whatever challenge.,No,Yes,109,22,We job movie cup level put single though strong war challenge staff argue guy.,7,0,100,59,10,Shy,Joyful,Heartbroken,10,10,2,Lower,Communication is key,No,Let Her Go,47,2,No,9,Gradual,Secure,100,Open,1,9
43,Stephanie,24,Other,Asexual,Modern,2017-06-20,2019-12-06,899 days,Long-term,Engaged,Ghosting,High,Future plans,Eye condition second usually increase raise.,No,Yes,24,56,Material indicate although laugh three involve time small continue apply defense situation blood.,13,13,94,17,4,Calm,Bitter,Joyful,4,6,8,Same,Set boundaries,Yes,Blinding Lights,25,1,No,3,Decline,Secure,245,Open,1,7
44,Kimberly,33,Male,Pansexual,Past,2019-04-02,2019-07-25,114 days,Long-term,Casual,Financial problems,Low,Money,Prepare rise suddenly American manager defense front lot billion none manager carry suddenly small.,Yes,Yes,52,1,Public wear rule able lead look fine blue second present house ahead great rather.,22,3,172,46,2,Joyful,Joyful,Bitter,7,9,9,Lower,Choose wisely,No,Photograph,40,14,Yes,9,Decline,Secure,317,Open,7,5
45,Roger,32,Non-binary,Heterosexual,Modern,2009-06-01,2011-09-11,832 days,Casual,Undefined,Infatuation fade,High,Priorities,Project trouble later effect president majority argue today factor from.,Yes,No,144,75,Plan job design continue fire serve probably family every.,42,27,172,12,16,Calm,Shy,Resigned,3,10,2,Same,Learn to forgive,No,Shape of You,88,4,Yes,1,Early spike,Avoidant,290,Passive,6,6
46,Barbara,18,Male,Asexual,Past,2020-10-15,2021-06-20,248 days,Long-term,Serious,Different life goals,High,Social media use,Stand figure long memory before everybody those.,Yes,No,137,78,Generation story particularly establish particular information thus.,8,15,11,33,5,Calm,Resigned,Shy,10,8,4,Same,Learn to forgive,No,Blinding Lights,49,18,Yes,7,Gradual,Anxious,109,Avoidant,3,10
47,Frank,27,Non-binary,Bisexual,Modern,2001-02-08,2003-04-02,783 days,Long-distance,Engaged,Emotional unavailability,Low,Future plans,Put son safe some themselves likely professor organization explain institution race small rule effect us environment.,Yes,No,148,64,Structure note perform nearly spend challenge begin.,32,24,146,60,14,Confident,Shy,Excited,6,10,10,Higher,Value your time,Yes,Let Her Go,23,6,No,1,Early spike,Secure,29,Open,6,5
48,Gary,24,Male,Heterosexual,Modern,2000-04-09,2000-12-14,249 days,Long-distance,Serious,Long distance strain,Medium,Time management,Loss community product physical hundred draw feeling attention main day onto college anything.,No,No,168,100,Enjoy matter check eye technology issue him.,9,17,170,60,3,Hopeful,Excited,Bitter,4,1,7,Same,Self-love matters,Yes,Blinding Lights,50,15,Yes,6,Decline,Secure,212,Avoidant,6,10
49,Alexis,39,Female,Pansexual,Modern,2010-07-14,2011-11-23,497 days,Long-term,Undefined,Long distance strain,Medium,Trust,Major walk authority meet my allow ok exist team off pass store mouth.,Yes,No,146,84,Manager town vote girl American art hope debate.,34,10,24,9,10,Hopeful,Joyful,Joyful,7,8,7,Same,Self-love matters,No,Someone Like You,30,5,Yes,5,Decline,Anxious,351,Open,10,5
50,Daniel,19,Non-binary,Pansexual,Past,2021-03-08,2022-03-17,374 days,Long-term,Casual,Financial problems,Medium,Money,Can maintain century also summer election.,Yes,No,85,50,Reality carry home necessary might scientist again education personal ever sometimes foot PM because capital event.,36,0,133,54,15,Excited,Bitter,Joyful,4,1,1,Lower,Value your time,Yes,Blinding Lights,87,14,No,6,Early spike,Secure,302,Open,9,8
51,Scott,40,Non-binary,Asexual,Modern,2006-06-01,2008-02-21,630 days,Flings,Undefined,Financial problems,Medium,Money,Laugh information shake meeting life visit some interesting offer save pretty follow partner push.,No,No,67,67,Behind value never each yeah.,49,9,10,3,4,Confident,Resigned,Shy,6,4,7,Lower,Learn to forgive,No,Let Her Go,90,0,No,10,Decline,Secure,175,Passive,1,6
